Scheme,NodeCount,ExecutionTime,CW,Result-Throughput,Result-MeanPacketDelay,Result-CollisionProbability
CSMA-Uniform,5,60,32,111.3,349142,0.92005076142132
CSMA-Uniform,5,60,64,185.333333333333,167537,0.804774861757219
CSMA-Uniform,5,60,128,232.45,112209,0.647180836263375
CSMA-Uniform,10,60,32,1.75,51346115,0.999479044948197
CSMA-Uniform,10,60,64,17.1,5697604,0.993531540034608
CSMA-Uniform,10,60,128,75,1227641,0.958134994421718
CSMA-Uniform,15,60,32,0.0333333333333333,282203001,0.999974036089835
CSMA-Uniform,15,60,64,1.5,77683180,0.999614892480465
CSMA-Uniform,15,60,128,19.0833333333333,7653025,0.993122914449056
CSMA-Uniform,20,60,32,0.0166666666666667,497271675,0.999982977398849
CSMA-Uniform,20,60,64,0.166666666666667,167339349,0.999956681157851
CSMA-Uniform,20,60,128,4.15,44123129,0.998883367514447
CSMA-Uniform,25,60,32,0.0166666666666667,16886,0.99998248321795
CSMA-Uniform,25,60,64,0.0166666666666667,40630065,0.999990095087163
CSMA-Uniform,25,60,128,0.766666666666667,182986571,0.99981503021766
