Scheme,NodeCount,ExecutionTime,CW,Result-Throughput,Result-MeanPacketDelay,Result-CollisionProbability
CSMA/CD-Uniform,5,20,32,434.05,13410,0.315893152627847
CSMA/CD-Uniform,5,20,64,435.5,14284,0.243595310464611
CSMA/CD-Uniform,5,20,128,428,15860,0.183751311147135
CSMA/CD-Uniform,10,20,32,766.25,23339,0.569482288828338
CSMA/CD-Uniform,10,20,64,759.4,25308,0.471337579617834
CSMA/CD-Uniform,10,20,128,744.45,29103,0.375340856651424
CSMA/CD-Uniform,15,20,32,994.95,45565,0.75957472514196
CSMA/CD-Uniform,15,20,64,961.25,51313,0.688990261736064
CSMA/CD-Uniform,15,20,128,919.4,59015,0.591205175518552
CSMA/CD-Uniform,20,20,32,1062.7,84163,0.863201050368788
CSMA/CD-Uniform,20,20,64,1026.15,90785,0.807535775239596
CSMA/CD-Uniform,20,20,128,970,102833,0.727452798381659
CSMA/CD-Uniform,25,20,32,1094.65,124714,0.905632971134741
CSMA/CD-Uniform,25,20,64,1068.35,130059,0.859744010502133
CSMA/CD-Uniform,25,20,128,1006.25,145346,0.794275784524175
