Scheme,NodeCount,ExecutionTime,CW,Result-Throughput,Result-MeanPacketDelay,Result-CollisionProbability
CSMA/CD-Uniform,5,20,32,434.05,13410,0.315893153
CSMA/CD-Uniform,5,20,64,435.5,14284,0.24359531
CSMA/CD-Uniform,5,20,128,428,15860,0.183751311
CSMA/CD-Uniform,10,20,32,766.25,23339,0.569482289
CSMA/CD-Uniform,10,20,64,759.4,25308,0.47133758
CSMA/CD-Uniform,10,20,128,744.45,29103,0.375340857
CSMA/CD-Uniform,15,20,32,994.95,45565,0.759574725
CSMA/CD-Uniform,15,20,64,961.25,51313,0.688990262
CSMA/CD-Uniform,15,20,128,919.4,59015,0.591205176
CSMA/CD-Uniform,20,20,32,1062.7,84163,0.86320105
CSMA/CD-Uniform,20,20,64,1026.15,90785,0.807535775
CSMA/CD-Uniform,20,20,128,970,102833,0.727452798
CSMA/CD-Uniform,25,20,32,1094.65,124714,0.905632971
CSMA/CD-Uniform,25,20,64,1068.35,130059,0.859744011
CSMA/CD-Uniform,25,20,128,1006.25,145346,0.794275785
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,NodeCount,32CW,64CW,128CW,,
,5,434.05,435.5,428,,
,10,766.25,759.4,744.45,,
,15,994.95,961.25,919.4,,
,20,1062.7,1026.15,970,,
,25,1094.65,1068.35,1006.25,,
